original index,load power (kW),solar power (kW),battery power (kW),battery SoC (kWh),solar capacity (kW),battery capacity (kWh),battery peak power (kW)
1544065500,1.4157459042656462,-3.99062507351,-0.000520833355646,9.8,5.07333336274,9.8,5.0
1544065800,1.4238816556628051,-3.95448986365,-0.0005918367628049999,9.8,5.07333336274,9.8,5.0
1544066100,1.4353333592007722,-3.93958340089,-0.000750000030772,9.8,5.07333336274,9.8,5.0
1544066400,1.5073265031058374,-3.91061228149,-0.000714285745837,9.8,5.07333336274,9.8,5.0
1544066700,1.5488653085493862,-3.90244900937,-0.0008163265693860001,9.8,5.07333336274,9.8,5.0
1544067000,1.513273505831989,-3.83632650181,-0.000346938791989,9.8,5.07333336274,9.8,5.0
1544067300,1.4442816018269002,-3.33285714534,-0.0182244899369,9.8,5.07333336274,9.8,5.0
1544067600,1.4618734508017,-3.33469391112,-0.03497959185169998,9.8,5.07333336274,9.8,5.0
1544067900,1.4573874308179997,-2.85333330867,-0.101854169848,9.8,5.07333336274,9.8,5.0
1544068200,0.927706124662,-0.33489796276,-0.6114081611509999,9.748421052629999,5.07333336274,9.8,5.0
1544068500,0.3539125032239998,-2.37729168124,0.785979169576,9.702,5.07333336274,9.8,5.0
1544068800,0.39927753818160294,-3.519183689230001,-0.000693877581602,9.8,5.07333336274,9.8,5.0
1544069100,0.43267087823671657,-3.71270836393,-0.000562500026717,9.8,5.07333336274,9.8,5.0
1544069400,0.43474565016184874,-3.62632652691,-0.0004600000218490001,9.8,5.07333336274,9.8,5.0
1544069700,0.38312866869889817,-3.48734695084,-0.000632653088898,9.8,5.07333336274,9.8,5.0
1544070000,0.4072181482002293,-3.20714289315,-0.0006875000302289999,9.8,5.07333336274,9.8,5.0
1544070300,0.39108283684007095,-1.50387755219,-0.0007346939100710001,9.8,5.07333336274,9.8,5.0
1544070600,0.4497469305873971,-2.97387754796,-0.000469387777397,9.8,5.07333336274,9.8,5.0
1544070900,0.470312739152394,-2.26958332459,-0.0005416666923940001,9.8,5.07333336274,9.8,5.0
1544071200,0.5062554682670095,-3.56489797514,-0.00081632656701,9.8,5.07333336274,9.8,5.0
1544071500,0.43323265066583727,-2.09795918452,-0.000714285745837,9.8,5.07333336274,9.8,5.0
1544071800,0.3881602808263399,-0.8766666638349999,-0.00212500000634,9.8,5.07333336274,9.8,5.0
1544072100,0.34549795181666,-0.400612241151,-0.00228571433726,9.8,5.07333336274,9.8,5.0
1544072400,0.2978326329809162,-2.80285715327,-0.000775510240916,9.8,5.07333336274,9.8,5.0
1544072700,0.35948164786652237,-3.27244899224,-0.0006326530865219999,9.8,5.07333336274,9.8,5.0
1544073000,0.3428284769251504,-3.0916326143299995,-0.000795918405151,9.8,5.07333336274,9.8,5.0
1544073300,1.575542821215509,-3.02448977256,-0.000653061255509,9.8,5.07333336274,9.8,5.0
1544073600,0.34602082783078014,-2.89458333949,-0.00043750002078,9.8,5.07333336274,9.8,5.0
1544073900,0.44277547870515077,-2.86897960488,-0.000795918405151,9.8,5.07333336274,9.8,5.0
1544074200,0.4382570992997432,-2.7791836456400003,-0.000673469419743,9.8,5.07333336274,9.8,5.0
1544074500,0.45113265897127475,-2.7275000015900006,-0.000632653091274,9.8,5.07333336274,9.8,5.0
1544074800,0.40009844345926093,-1.28367345552,-0.0006250000272610001,9.8,5.07333336274,9.8,5.0
1544075100,0.3687999889983318,-1.8933333382,-0.0006666666983320001,9.8,5.07333336274,9.8,5.0
1544075400,0.43909993520374924,-2.6797999811200004,-0.0005000000237490001,9.8,5.07333336274,9.8,5.0
1544075700,0.4201208772094258,-2.61604169011,-0.000479166689426,9.8,5.07333336274,9.8,5.0
1544076000,0.3869305795585698,-2.32795917745,-0.00057142859857,9.8,5.07333336274,9.8,5.0
1544076300,0.27348162065397785,-1.45938774274,-0.000693877583978,9.8,5.07333336274,9.8,5.0
1544076600,0.307270886339426,-2.03479168192,-0.000479166689426,9.8,5.07333336274,9.8,5.0
1544076900,0.3516615849789273,-2.32041667898,-0.000428571448927,9.8,5.07333336274,9.8,5.0
1544077200,0.42473139214196,-2.06319997787,-0.00055102043196,9.8,5.07333336274,9.8,5.0
1544077500,0.38279226615181994,-1.04750000748,-0.00252083331482,9.8,5.07333336274,9.8,5.0
1544077800,0.37810219886710006,-0.497959180754,-0.017346938889099998,9.8,5.07333336274,9.8,5.0
1544078100,0.36026529928691,-0.316530608401,-0.045734694641,9.8,5.07333336274,9.8,5.0
1544078400,0.3703020366011399,-0.927346947242,-0.00275510206714,9.8,5.07333336274,9.8,5.0
1544078700,0.3666583322124801,-0.7070833370090001,-0.00137500004348,9.8,5.07333336274,9.8,5.0
1544079000,0.37345679799704,-0.539583330974,-0.005673469479039999,9.8,5.07333336274,9.8,5.0
1544079300,0.6777306179153,-0.34612245036600003,-0.347408162316,9.75357894737,5.07333336274,9.8,5.0
1544079600,1.060758336431,-0.365833340213,-0.800124999902,9.62033333333,5.07333336274,9.8,5.0
1544079900,0.8621714250788001,-0.724897960619,-0.0826734675056,9.604,5.07333336274,9.8,5.0
1544080200,1.302632650198,-0.940612246796,-0.28102040823,9.59311111111,5.07333336274,9.8,5.0
1544080500,0.4177142820759,-0.72244898093,0.276734693147,9.58336842105,5.07333336274,9.8,5.0
1544080800,0.36564166436709,-0.361041668182,-0.00599999991634,9.604,5.07333336274,9.8,5.0
1544081100,0.3681061222579,-0.321632652867,-0.0296734693194,9.604,5.07333336274,9.8,5.0
1544081400,0.41466250741833,-0.296041669945,-0.115020833754,9.604,5.07333336274,9.8,5.0
1544081700,0.4136897992298,-0.243061226546,-0.169428571146,9.58766666667,5.07333336274,9.8,5.0
1544082000,0.323137501788416,-0.184375000807,-0.138562499235,9.506,5.07333336274,9.8,5.0
1544082300,0.34546530555724,-0.15591837039999998,-0.191346938209,9.506,5.07333336274,9.8,5.0
1544082600,0.34414583326633,-0.16666666915,-0.178479167633,9.506,5.07333336274,9.8,5.0
1544082900,0.35737798962392003,-0.148571429812,-0.20436734691,9.506,5.07333336274,9.8,5.0
1544083200,0.4633877541890232,-0.116530610591,-0.3468571433,9.46989473684,5.07333336274,9.8,5.0
1544083500,0.74705714907982,-0.0942857157515,-0.644571429004,9.408,5.07333336274,9.8,5.0
1544083800,0.46632177119601004,-0.109166666244,-0.34975510299400003,9.36444444444,5.07333336274,9.8,5.0
1544084100,0.47691428658324003,-0.0924489809846,-0.383265306147,9.31,5.07333336274,9.8,5.0
1544084400,0.48289285708795004,-0.0787500004905,-0.405163265004,9.31,5.07333336274,9.8,5.0
1544084700,0.48547234680733997,-0.0796000003815,-0.407244898227,9.21744444444,5.07333336274,9.8,5.0
1544085000,0.493933072968137,-0.07666666557389999,-0.417854165658,9.212,5.07333336274,9.8,5.0
1544085300,0.7550519396957,-0.0704081626419,-0.698816328861,9.14666666667,5.07333336274,9.8,5.0
1544085600,0.43882916320441,-0.0537500006612,-0.39047916544,9.114,5.07333336274,9.8,5.0
1544085900,0.417077550392086,-0.0500000007451,-0.366877553414,9.02115789474,5.07333336274,9.8,5.0
1544086200,0.5272938800679899,-0.0500000007451,-0.4746938761399999,9.016,5.07333336274,9.8,5.0
1544086500,0.5399625041584439,-0.0500000007451,-0.490562501053,8.94378947368,5.07333336274,9.8,5.0
1544086800,0.53237142732232,-0.0500000007451,-0.483571427817,8.918,5.07333336274,9.8,5.0
1544087100,1.6236693951182999,-0.0500000007451,-1.6024693944,8.804526315790001,5.07333336274,9.8,5.0
1544087400,0.56914285049115,-0.0481632657501,-0.522979586708,8.71168421053,5.07333336274,9.8,5.0
1544087700,0.5496122382428501,-0.0399999991059,-0.510836733239,8.624,5.07333336274,9.8,5.0
1544088000,0.5126473806937,-0.0351020400317,-0.33793749889200003,8.624,5.07333336274,9.8,5.0
1544088300,0.42940816091304995,-0.0159183669911,-0.415489797081,8.54777777778,5.07333336274,9.8,5.0
1544088600,0.43713332859206,-0.019999999553,-0.418333332365,8.526,5.07333336274,9.8,5.0
1544088900,0.41604489629555497,-0.00836734675175,-0.406877553585,8.48244444444,5.07333336274,9.8,5.0
1544089200,0.411934690013568,0.0,-0.412734694019,8.428,5.07333336274,9.8,5.0
1544089500,0.46140832990401,0.0,-0.456208333373,8.40221052632,5.07333336274,9.8,5.0
1544089800,0.5303061250404001,0.0,-0.532306122537,8.33,5.07333336274,9.8,5.0
1544090100,0.541587754457855,0.0,-0.541469386646,8.29188888889,5.07333336274,9.8,5.0
1544090400,0.53385442760065,0.0,-0.535387761739,8.232,5.07333336274,9.8,5.0
1544090700,0.5261374895767501,0.0,-0.5289374937610001,8.16494736842,5.07333336274,9.8,5.0
1544091000,0.515036299196699,0.0,-0.5154893613880001,8.134,5.07333336274,9.8,5.0
1544091300,0.59552371675696,0.0,-0.59204545143,8.042125,5.07333336274,9.8,5.0
1544091600,0.5961375023427999,0.0,-0.5979374982419999,8.015368421049999,5.07333336274,9.8,5.0
1544091900,0.5487183714891101,0.0,-0.55391836653,7.938,5.07333336274,9.8,5.0
1544092200,0.5133877595649501,0.0,-0.516387757598,7.889,5.07333336274,9.8,5.0
1544092500,0.50492083874846,0.0,-0.505520834898,7.84,5.07333336274,9.8,5.0
1544092800,0.5342612302426601,0.0,-0.5360612279300001,7.77466666667,5.07333336274,9.8,5.0
1544093100,0.5354916708665,0.0,-0.5322916706399999,7.742,5.07333336274,9.8,5.0
1544093400,0.5476333346469899,0.0,-0.549833333741,7.649444444439999,5.07333336274,9.8,5.0
1544093700,0.544799997210423,0.0,-0.545199997425,7.6233684210499995,5.07333336274,9.8,5.0
1544094000,0.52760833879288,0.0,-0.529208337267,7.546,5.07333336274,9.8,5.0
1544094300,0.54134286036278,0.0,-0.540142859123,7.50473684211,5.07333336274,9.8,5.0
1544094600,0.54804082129091,0.0,-0.54604081992,7.448,5.07333336274,9.8,5.0
1544094900,0.5363625079395901,0.0,-0.5375625044110001,7.3772222222199995,5.07333336274,9.8,5.0
1544095200,0.5176583382243101,0.0,-0.525458335256,7.35,5.07333336274,9.8,5.0
1544095500,0.36029795886958,0.0,-0.361897961218,7.26231578947,5.07333336274,9.8,5.0
1544095800,0.38383673313944,0.0,-0.384836735166,7.252,5.07333336274,9.8,5.0
1544096100,0.37579166459581004,0.0,-0.378791664417,7.205578947369999,5.07333336274,9.8,5.0
1544096400,0.37746938759,0.0,-0.37746938759,7.154,5.07333336274,9.8,5.0
1544096700,0.40501632597968,0.0,-0.403816325932,7.14368421053,5.07333336274,9.8,5.0
1544097000,0.489558331494238,0.0,-0.489958334093,7.056,5.07333336274,9.8,5.0
1544097300,0.48551020661155003,0.0,-0.488448979903,7.035368421049999,5.07333336274,9.8,5.0
1544097600,0.47815931349377,0.0,-0.479374999801,6.958,5.07333336274,9.8,5.0
1544097900,0.47640816472024,0.0,-0.47783673357,6.93077777778,5.07333336274,9.8,5.0
1544098200,0.460719089473,0.0,-0.324836733105,6.86,5.07333336274,9.8,5.0
1544098500,0.4519874984315,0.0,-0.453187501058,6.85455555556,5.07333336274,9.8,5.0
1544098800,0.45308051289689,0.0,-0.455653061672,6.762,5.07333336274,9.8,5.0
1544099100,0.4245583365364,0.0,-0.427958334486,6.75684210526,5.07333336274,9.8,5.0
1544099400,0.35611020255442,0.0,-0.358510205332,6.664,5.07333336274,9.8,5.0
1544099700,0.35735509666238,0.0,-0.35975510003600003,6.664,5.07333336274,9.8,5.0
1544100000,0.35633877144153003,0.0,-0.357938774386,6.60411111111,5.07333336274,9.8,5.0
1544100300,0.3572374950345,0.0,-0.362437497824,6.566,5.07333336274,9.8,5.0
1544100600,0.41065714049078,0.0,-0.405857139704,6.545368421049999,5.07333336274,9.8,5.0
1544100900,0.54984489457335,0.0,-0.545244895682,6.468,5.07333336274,9.8,5.0
